"issn","publisher"
"1756-1833","BMJ"
"2565-6120","Maynooth University"
"2156-3977","MediaSphere Medical LLC"
"1941-6911","""Cardiofront, LLC"""
"1881-641X","The Editorial Committee of Annals of Vascular Diseases"
"2663-8851","Full Universe Integrated Marketing Ltd"
"2189-8448","Japanese Physical Therapy Association"
"1345-9678","The Japan Institute of Metals"
"0162-1459","Informa UK (American Statistical Association)"
"1934-9491","Failed - Status code: 404"
"1936-4253","JSTOR"
"1971-7458","SISEF"
"2731-6084","Springer Science and Business Media LLC"
"2785-2997","Ital Publication"
"2057-7540","Failed - Status code: 404"
"2398-8878","Open Access Text"
"2474-7580","Juniper Publishers"
"0377-015X","National Institute of Ecology"
"2424-7057","Sri Lanka Journals Online"
"1844-4172","SRUMB - Romanian Society for Ultrasonography in Medicine and Biology"
"2602-0807","Clujul Medical"
"1300-4948","AVES YAYINCILIK A.S."
"2231-5047","Jaypee Brothers Medical Publishing"
"1660-8151","Failed - Status code: 404"
"1613-6071","JCFCorp SG PTE LTD"
"1300-0667","Turk Noropsikiyatri Dernegi"
"2162-3449","Association for the Advancement of Artificial Intelligence (AAAI)"
"1881-7831","International Research and Cooperation Association for Bio & Socio-Sciences Advancement"
"2278-4853","Diva Enterprises Private Limited"
"2575-9752","Failed - Status code: 404"
"1726-913X","Briefland"
"2738-9774","Ayurveda Campus IOM"
"0022-3417","Wiley (John Wiley & Sons)"
"1553-9768","""Breakaway Media, LLC"""
"2073-4859","The R Foundation"
"1614-1881","PsychOpen GOLD Leibniz Institute for Psychology (ZPID)"
"0935-9648","Wiley (John Wiley & Sons)"
"1093-4529","Informa UK (Marcel Dekker)"
"1225-0112","The Korean Society of Industrial and Engineering Chemistry"
"2092-7355","""The Korean Academy of Asthma, Allergy and Clinical Immunology and The Korean Academy of Pediatric Allergy and Respiratory Disease"""
"0001-2351","American Society of Agricultural and Biological Engineers"
"2069-5837","AMG Transcend Association"
"2324-8033","Redfame Publishing"
"0094-6214","JSTOR"
"2634-8861","Scientific Research and Community Ltd"
"1056-3997","Failed - Status code: 404"
"1942-5864","""SLACK, Inc."""
"2382-6533","AccScience Publishing"
"1949-8462","Baishideng Publishing Group Co (World Journal of Cardiology)"
"2331-656X","Micropaleontology Press"
"2411-605X","Past Global Changes (PAGES)"
"0083-1204","JSTOR"
"0148-7191","Failed - Status code: 404"
"2288-3649","Korean Society of Cancer Prevention"
"1819-3587","Science Alert"
"0353-8109","ScopeMed"
"2186-3342","BMFH Press"
"2538-497X","Briefland"
"2233-6834","Korea Society for Exercise Nutrition"
"1735-8582","CMV Verlag"
"0975-7066","Innovare Academic Sciences"
"2002-7567","Orebro University Hospital"
"1057-5987","Centers for Disease Control MMWR Office"
"2807-2618","Narra Sains Indonesia"
"1907-1094","Indonesian Agency for Agricultural Instrument Standardization (IAAIS)"
"2091-2609","Nepal Journals Online"
"1758-3772","Touch Medical Media LTD."
"2383-4625","Korean Society of Emergency Medicine"
"0730-479X","Project MUSE"
"1229-0335","Korean Clinical Psychology Association"
"2093-8896","Failed - Status code: 404"
"1935-1933","BioOne (Journal of the North Atlantic)"
"1473-4869","""Educational Development Unit, University of Greenwich"""
"1756-1833","BMJ"
"2565-6120","Maynooth University"
"2156-3977","MediaSphere Medical LLC"
"1941-6911","""Cardiofront, LLC"""
"1881-641X","The Editorial Committee of Annals of Vascular Diseases"
"2663-8851","Full Universe Integrated Marketing Ltd"
"2189-8448","Japanese Physical Therapy Association"
"1345-9678","The Japan Institute of Metals"
"0162-1459","Informa UK (American Statistical Association)"
"1934-9491","Failed - Status code: 404"
"1936-4253","JSTOR"
"1971-7458","SISEF"
"2731-6084","Springer Science and Business Media LLC"
"2785-2997","Ital Publication"
"2057-7540","Failed - Status code: 404"
"2398-8878","Open Access Text"
"2474-7580","Juniper Publishers"
"0377-015X","National Institute of Ecology"
"2424-7057","Sri Lanka Journals Online"
"1844-4172","SRUMB - Romanian Society for Ultrasonography in Medicine and Biology"
"1756-1833","BMJ"
"2565-6120","Maynooth University"
"2156-3977","MediaSphere Medical LLC"
"1941-6911","""Cardiofront, LLC"""
"1881-641X","The Editorial Committee of Annals of Vascular Diseases"
"2663-8851","Full Universe Integrated Marketing Ltd"
"2189-8448","Japanese Physical Therapy Association"
"1345-9678","The Japan Institute of Metals"
"0162-1459","Informa UK (American Statistical Association)"
"1934-9491","Failed - Status code: 404"
"1936-4253","JSTOR"
"1971-7458","SISEF"
"2731-6084","Springer Science and Business Media LLC"
"2785-2997","Ital Publication"
"2057-7540","Failed - Status code: 404"
"2398-8878","Open Access Text"
"2474-7580","Juniper Publishers"
"0377-015X","National Institute of Ecology"
"2424-7057","Sri Lanka Journals Online"
"1844-4172","SRUMB - Romanian Society for Ultrasonography in Medicine and Biology"
"2602-0807","Clujul Medical"
"1300-4948","AVES YAYINCILIK A.S."
"2231-5047","Jaypee Brothers Medical Publishing"
"1660-8151","Failed - Status code: 404"
"1613-6071","JCFCorp SG PTE LTD"
"1300-0667","Turk Noropsikiyatri Dernegi"
"2162-3449","Association for the Advancement of Artificial Intelligence (AAAI)"
"1881-7831","International Research and Cooperation Association for Bio & Socio-Sciences Advancement"
"2278-4853","Diva Enterprises Private Limited"
"2575-9752","Failed - Status code: 404"
"1726-913X","Briefland"
"2738-9774","Ayurveda Campus IOM"
"0022-3417","Wiley (John Wiley & Sons)"
"1553-9768","""Breakaway Media, LLC"""
"2073-4859","The R Foundation"
"1614-1881","PsychOpen GOLD Leibniz Institute for Psychology (ZPID)"
"0935-9648","Wiley (John Wiley & Sons)"
"1093-4529","Informa UK (Marcel Dekker)"
"1225-0112","The Korean Society of Industrial and Engineering Chemistry"
"2092-7355","""The Korean Academy of Asthma, Allergy and Clinical Immunology and The Korean Academy of Pediatric Allergy and Respiratory Disease"""
"0001-2351","American Society of Agricultural and Biological Engineers"
"2069-5837","AMG Transcend Association"
"2324-8033","Redfame Publishing"
"0094-6214","JSTOR"
"2634-8861","Scientific Research and Community Ltd"
"1056-3997","Failed - Status code: 404"
"1942-5864","""SLACK, Inc."""
"2382-6533","AccScience Publishing"
"1949-8462","Baishideng Publishing Group Co (World Journal of Cardiology)"
"2331-656X","Micropaleontology Press"
"2411-605X","Past Global Changes (PAGES)"
"0083-1204","JSTOR"
"0148-7191","Failed - Status code: 404"
"2288-3649","Korean Society of Cancer Prevention"
"1819-3587","Science Alert"
"0353-8109","ScopeMed"
"2186-3342","BMFH Press"
"2538-497X","Briefland"
"2233-6834","Korea Society for Exercise Nutrition"
"1735-8582","CMV Verlag"
"0975-7066","Innovare Academic Sciences"
"2002-7567","Orebro University Hospital"
"1057-5987","Centers for Disease Control MMWR Office"
"2807-2618","Narra Sains Indonesia"
"1907-1094","Indonesian Agency for Agricultural Instrument Standardization (IAAIS)"
"2091-2609","Nepal Journals Online"
"1758-3772","Touch Medical Media LTD."
"2383-4625","Korean Society of Emergency Medicine"
"0730-479X","Project MUSE"
"1229-0335","Korean Clinical Psychology Association"
"2093-8896","Failed - Status code: 404"
"1935-1933","BioOne (Journal of the North Atlantic)"
"1473-4869","""Educational Development Unit, University of Greenwich"""
"1005-0094","Biodiversity Science"
"0081-1696","Society of Petroleum Engineers"
"1075-9565","AAPG/Datapages"
"2663-628X","Science Journal of University of Zakho"
"1095-0753","""International Press of Boston, Inc."""
"1841-5261","Addleton Academic Publishers"
"2325-1204","Iowa State University"
"2573-4180","Eastern University"
"2992-9253","The Society for Open Inquiry in Behavioral Sciences"
"2325-8160","Failed - Status code: 404"
"1479-3555","Failed - Status code: 404"
"2196-4114","Failed - Status code: 404"
"2220-640X","Bangladesh Academy of Sciences"
"0885-8608","BioOne (Natural Areas Journal)"
"1913-5688","Leading English Education and Resource Network - LEARN"
"1479-3709","Failed - Status code: 404"
"2410-339X","European Association of Geochemistry"
"0180-9210","PERSEE Program"
"2379-9536","Marshall University"
"1301-143X","Doc Design and Informatics Co. Ltd."
"0387-5911","The Japanese Association for Infectious Diseases"
"1947-6108","Houston Methodist DeBakey Heart & Vascular Center"
"1738-6756","Korean Breast Cancer Society"
"2574-7614","Gavin Publishers"
"0181-1568","""BioOne (Museum National d'Histoire Naturelle, Paris, France)"""
"1944-1207","""The University of Alabama, Division of Community Affairs"""
"1531-7714","Failed - Status code: 404"
"2190-5967","Failed - Status code: 404"
"2397-0022","SAGE Publications"
"2149-0937","Failed - Status code: 404"
"2278-4748","Akshantala Enterprises Private Limited"
"0021-1192","Failed - Status code: 404"
"1321-0122","International Journal of Transpersonal Studies"
"2166-2746","American Vacuum Society"
"2163-2790","Failed - Status code: 404"
"2476-0757","Distill Working Group"
"2230-9608","Academy and Industry Research Collaboration Center"
"2375-1630","Failed - Status code: 404"
"0361-0128","""Society of Economic Geologists, Inc."""
"2804-3871","Peer Community In"
"2577-5421","SPIE - International Society for Optical Engineering"
"1049-8834","Ovid Technologies Wolters Kluwer -American Heart Association"
"1560-652X","CMV Verlag"
"1598-2874","Failed - Status code: 404"
"1302-7123","Kare Publishing"
"1012-8298","Kezana LLC FZ"
"0035-0052","GRAPHIMEDIC SA DE CV"
"1608-7046","CMV Verlag"
"2159-5313","Failed - Status code: 404"
"2096-7071","Chinese Center for Disease Control and Prevention"
"2673-8430","MDPI AG"
"1976-4677","Korean Institute of Information Scientists and Engineers"
"2319-1163","eSAT Publishing House"
"2771-3989","Field Robotics Publication Society"
"1535-1025","Scientific Societies"
"1681-1178","Failed - Status code: 404"
"0424-7116","Copernicus GmbH"
"2676-1378","Nepal Journals Online"
"2541-9994","Fund Science and Culture Support Centre"
"2223-7755","European Association of Geochemistry"
"0007-2303","Project MUSE"
"0967-3407","Liverpool University Press"
"2731-6068","Springer Science and Business Media LLC"
"2202-4433","Joanna Briggs Institute"
"1052-1372","Failed - Status code: 404"
"2226-6089","EMBnet Stichting"
"0893-7400","Ovid Technologies (Wolters Kluwer)  - Lippincott Williams & Wilkins"
"1067-151X","American Academy of Orthopaedic Surgeons"
"1319-6995","Failed - Status code: 404"
"0024-9637","BioOne (California Botanical Society)"
"1976-0426","Techno-Press"
"2673-8929","MDPI AG"
"0577-6686","Chinese Journal of Mechanical Engineering"
"0253-2239","Shanghai Institute of Optics and Fine Mechanics"
"0361-915X","JSTOR"
"0010-9312","Association for Materials Protection and Performance (AMPP)"
"1546-2218","Failed - Status code: 404"
"2575-8586","Juniper Publishers"
"2156-4639","Failed - Status code: 404"
"1728-4554","Failed - Status code: 404"
"2288-6478","The Korean Society of Menopause"
"0306-3704","JSTOR"
"1936-2854","Board of Governors of the Federal Reserve System"
"0300-922X","Failed - Status code: 404"
"2059-7983","International Union of Crystallography"
"0079-032X","BioOne (Bulletin of the Peabody Museum of Natural History)"
"1088-7105","Failed - Status code: 404"
"2582-1334","Shanlax International Journals"
"1067-2478","""Mason Publishing, George Mason University Libraries"""
"2576-6465","American Political Science Association"
"2326-909X","Association for the Advancement of Artificial Intelligence (AAAI)"
"2513-8359","ICT in Practice"
"0149-6611","JSTOR"
"1456-8438","Failed - Status code: 404"
"2642-0007","New England Journal of Medicine"
"1753-9579","Infopro Digital"
"2625-3410","PsychOpen GOLD Leibniz Institute for Psychology (ZPID)"
"2717-5677","Universal Wiser Publisher Pte. Ltd"
"0862-495X","Care Comm"
"1047-4986","Failed - Status code: 404"
"2235-0640","Bioscientifica"
"0016-2590","The Fukushima Society of Medical Science"
"1756-1485","Radcliffe Group Ltd"
"1948-5204","Baishideng Publishing Group Co (World Journal of Gastrointestinal Oncology)"
"1664-5545","S. Karger AG"
"1941-4935","Failed - Status code: 404"
"2377-7478","WellBeing International Publications"
"1064-2587","Failed - Status code: 404"
"2304-1412","Failed - Status code: 404"
"2372-0247","The Beryl Institute"
"1758-6453","NomadIT"
"2374-6246","Clute Institute"
"2301-251X","Bastas Publications"
"2652-6719","Our Solar Siblings"
"1756-1752","Touch Medical Media LTD."
"1521-6934","Elsevier"
"1300-0985","The Scientific and Technological Research Council of Turkey (TUBITAK-ULAKBIM) - DIGITAL COMMONS JOURNALS"
"2578-2967","Sciaccess Publishers LLC"
"2628-3719","Copernicus GmbH"
"2277-3525","""Journal of Multidisciplinary Dental Research, International Dental Educationists Association"""
"2159-063X","""Ubiquity Press, Ltd."""
"2475-9333","""R.W. Steen Library, SFASU"""
"2407-9677","Athens Institute for Education and Research ATINER"
"2577-1949","Crimson Publishers"
"0886-1641","Failed - Status code: 404"
"1543-8120","BioOne- American Society of Plant Biologists (Arabidopsis)"
"1741-1106","Inderscience Enterprises Ltd."
